Country,Year,Developed,Medals,,,,,,,,,
Cyprus,1980,T,0,,,,,,,,,
Cyprus,1984,T,0,,,,,,,,,
Cyprus,1988,T,0,,,,,,,,,
Cyprus,1992,T,0,,,,,,,,,
Cyprus,1996,T,0,,,,,,,,,
Cyprus,2000,T,0,,,,,,,,,
Cyprus,2004,T,0,,,,,,,,,
Cyprus,2008,T,0,,,,,,,,,
Cyprus,2012,T,1,,,,,,,,,
Czech Republic,1948,F,20,,,,,,,,,
Czech Republic,1952,F,25,,,,,,,,,
Czech Republic,1956,F,7,,,,,,,,,
Czech Republic,1960,T,22,,,T,,,,,,
Czech Republic,1964,T,55,,,,,,,,,
Czech Republic,1968,T,29,,,,,,,,,
Czech Republic,1972,T,29,,,,,,,,,
Czech Republic,1976,T,15,,,,,,,,,
Czech Republic,1980,T,52,,,,,,,,,
Czech Republic,1984,T,0,,,,,,,,,
Czech Republic,1988,T,10,,,,,,,,,
Czech Republic,1992,T,8,,,,,,,,,
Czech Republic,1996,T,13,,,,,,,,,
Czech Republic,2000,T,9,,,,,,,,,
Czech Republic,2004,T,12,,,,,,,,,
Czech Republic,2008,T,7,,,,,,,,,
Czech Republic,2012,T,15,,,,,,,,,
Denmark,1948,T,49,,,,,,,,,
Denmark,1952,T,9,,,,,,,,,
Denmark,1956,T,7,,,,,,,,,
Denmark,1960,T,23,,,,,,,,,
Denmark,1964,T,12,,,,,,,,,
Denmark,1968,T,16,,,,,,,,,
Denmark,1972,T,1,,,,,,,,,
Denmark,1976,T,8,,,,,,,,,
Denmark,1980,T,8,,,,,,,,,
Denmark,1984,T,15,,,,,,,,,
Denmark,1988,T,7,,,,,,,,,
Denmark,1992,T,14,,,,,,,,,
Denmark,1996,T,24,,,,,,,,,
Denmark,2000,T,25,,,,,,,,,
Denmark,2004,T,29,,,,,,,,,
Denmark,2008,T,18,,,,,,,,,
Denmark,2012,T,16,,,,,,,,,
Djibouti,1948,F,0,,,,,,,,,
Djibouti,1952,F,0,,,,,,,,,
Djibouti,1956,F,0,,,,,,,,,
Djibouti,1960,F,0,,,,,,,,,
